bangla_speech ,banglish_speech ,mymensingh_bangla_speech ,mymensingh_banglish_speech ,region_name ,english_speech
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,meyera sottikar valobashte baste je kokhon ovinoy shuru kore tara ta nijeo janena,ছেড়িরা সত্যিকার ভালোবাসতে বাসতে যে কহন অভিনয় শুরু কইরা দেয় হেরা তা নিজেরাও কইতে ফারেনা,cherira sottikar valobaste baste je kohon ovinoy shuru koira dey hera ta nijerao koite farena,Mymensingh,Girls don't even know when they start acting out of real love
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,ei prithibite priyo manushguloke chara beche thakata koshtokor kintu osomvob kichu noy,এই দুনিয়াতে প্রিয় মানুষগুলোরে ছাড়া বাইচ্চা থাকাটা কষ্টকর কিন্তু অসম্ভব কিসু না,ei duniyate priyo manushgulore chara baicca thakata koshtokor kintu osomvob kisu na,Mymensingh,Living without loved ones in this world is difficult but not impossible
কারো জন্য কারো জীবন থেমে থাকে না,karo jonno karo jibon theme thake na,কারো লাইজ্ঞা কারো জীবন থাইম্মা থাকে না,karo laigga karo jibon thaimma thake na,Mymensingh,Life doesn't stop for anyone
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,kauke procondovabe valobashar moddhe ek dhoroner durbolta ache,কাউরে প্রচন্ডভাবে ভালবাসার মধ্যে এক জাতের দুর্বলতা আছে,kaure procondovabe valobasar moddhe ek jater durbolta ache,Mymensingh,There is a weakness in loving someone so much
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","chele ebong meye bondhu hote pare, kintu tara oboshoi eke oporer preme porbe","ছেড়া আর ছেড়ি বন্ধু হইতে ফারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","chera ar cheri bondhu hoite fare, kintu tara oboshhoi eke oporer preme porbe",Mymensingh,"Boy and girl may be friends, but they will definitely fall in love with each other"
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,cheleder jonno prithibite sob chaite mulloban holo meyeder hashi,ছেড়ারার লাইজ্ঞা দুনিয়াতে সবচে দামি হইল ছেড়িরার হাসি,cherarar laigga duniyate sobce dami hoilo cherirar hasi,Mymensingh,Girls' smile is the most precious thing in the world for boys
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,tomake ducokh vore dekha ekhono baki,তোমারে দুইচোখ ভইর দেহা এখহনো বাকি,tomare duicokh voiro deha ekhohno baki,Mymensingh,You are yet to be seen with eyes full of eyes
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,tomake kache ese joriye dhora baki,তোমারে কাসে আইসা জড়ায়া ধরা বাকি,tomare kase aisa joraya dhora baki,Mymensingh,You have to come and hug
আমার অনেক ঠাণ্ডা লাগছে,amar onek thanda lagche,আমার মেলা ঠাণ্ডা লাগতাসে,amar mela thanda lagtase,Mymensingh,I feel very cold
আমার মন খারাপ,amar mon kharap,আমার মন খারাপ,amar mon kharap,Mymensingh,I'm upset
আপনার কি মন খারাপ ?,apnar ki mon kharap ?,আফনের কিতা মন খারাপ?,afner kita mon kharap?,Mymensingh,Are you upset?
তোমার  কি মন খারাপ ?,tomar ki mon kharap ?,তোমার কিতা মন খারাপ?,tomar kita mon kharap?,Mymensingh,Are you upset?
আব্বু আমার জন্য লাল জামা কিনে এনেছে,abbu amar jonno lal jama kine eneche,আব্বা আমার লাইজ্ঞা লাল জামা কিন্না আনসে,abba amar laigga lal jama kinna anse,Mymensingh,Dad bought a red dress for me
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,amar bondhu amake lal shari kine diyeche,আমার বন্ধু আমারে লাল শাড়ি কিন্না দিসে,amar bondhu amare lal shari kinna dise,Mymensingh,My friend bought me a red saree
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,amar bondhu amake ekti lal golap kine diyeche,আমার বন্ধু আমারে একটা লাল গোলাপ কিন্না দিসে,amar bondhu amare ekta lal golap kinna dise,Mymensingh,My friend bought me a red rose
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,amar ammu amake niye park e ghurte jabe,আমার আম্মা আমারে নিয়া পার্কে ঘুরতে যাইব,amar amma amare niya parke ghurte jaibo,Mymensingh,My mom will take me for a walk in the park
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর","je valobasha joto gopon, sei valobasha toto govir","যে ভালবাসা যত গোপন, হেই ভালবাসা তত গভীর","je valobasa joto gopon, hei valobasa toto govir",Mymensingh,"The more secret the love, the deeper the love"
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,valobasha paoyar chaite valobasha deoyatei beshi anondo,ভালোবাসা পাওনের চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,valobasa paoner caite valobasa dewatei beshi anondo,Mymensingh,There is more joy in giving love than receiving love
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","tumi jodi kauke valobasho,tobe take chere dao","তুমি যদি কাউরে ভালোবাসো,তবে তাকে ছাইড়া দেও","tumi jodi kaure valobaso,tobe take chaira deo",Mymensingh,"If you love someone, let them go"
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল","jodi se tomar kache fire ase,tobe se tomari chilo","যদি হেয় তোমার কাছে ফিরা আসে,তবে হেয় তোমারই আসিল","jdi hey tomar kache fira ase,tobe hey tomari asiloo",Mymensingh,"If she came back to you, she was yours"
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না","ar jodi fire na ase,tobe se kokhonoi tomar chilo na","আর যদি ফিরা না আসে,তবে সে কখনই তোমার ছিল না","ar jodi fira na ase,tobe se kokhoni tomar chilo na",Mymensingh,"And if she doesn't come back, she was never yours"
