bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,chelera valobasar ovinoy korte korte je kokhon sotti sotti valobeshe fele tara ta nijeo janena,ফোয়াওক্কল বালবাসার অবিনয় গইরতে গইরতে হত্তে যে আঁচা আঁচা বালবাসি ফেলাই ইতারা নিজেরাও হইত ন ফারে,foyaokkol balobasar obinoy goirte goirte hotte je aca aca balobasi felai itara nijerao hoito no fare,Chittagong,Boys don't even know when they are really in love while pretending to be in love
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,meyera sottikar valobashte baste je kokhon ovinoy shuru kore tara ta nijeo janena,মাইফোয়াওক্কল বালবাইসতে বাইস্তে হত্তে যে অবিনয় শুরু গরে ইতারা নিজেরাও হইত ন ফারে,maifoyaokkol balbaiste baiste hotte je obinoy shuru gore itara nijerao hito no fare,Chittagong,Girls don't even know when they start acting out of real love
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,ei prithibite priyo manushguloke chara beche thakata koshtokor kintu osomvob kichu noy,এই ফিতিবিত ফ্রিয় মানুষওন চারা বাচি তাহা হস্টগর কিন্তু অসম্বব নয়,ei fitibit friyo manushon cara baci taha hostogor kintu osombob noy,Chittagong,Living without loved ones in this world is difficult but not impossible
কারো জন্য কারো জীবন থেমে থাকে না,karo jonno karo jibon theme thake na,হনিকার লাই হনিকার জিবন তিয়াই ন তাকে,honikar lai honikar jibon tiyai no take,Chittagong,Life doesn't stop for anyone
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,kauke procondovabe valobashar moddhe ek dhoroner durbolta ache,হনিকারে প্রচন্ডভাবে বালবাসার মাযে এক দরনঅর দুর্বলতা আচে,honikare procondovabe balobasar maje ek doronor durbolta ace,Chittagong,There is a weakness in loving someone so much
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","chele ebong meye bondhu hote pare, kintu tara oboshoi eke oporer preme porbe",ফোয়া আর মাইফোয়া বন্দু অইত ফারে কিন্তু ইতারা এক সময় অবশ্যই একজন আরেকজন অর ফ্রেমঅত ফরিবো,foya ar maifoya bondu oito fare kintu itara ek somoy oboshhoi ekojon arekojon or fremot foribo,Chittagong,"Boy and girl may be friends, but they will definitely fall in love with each other"
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,cheleder jonno prithibite sob chaite mulloban holo meyeder hashi,ফোয়াওক্কল অর লাই ফিতিবিত বেজ্ঞুনরতুন বেরা মুল্যবান অইলদি মাইফোয়াঅক্কলর আসি,foyaokkol or lai fitibit beggunortun bera mulloban oilodi maifoyaokkolor asi,Chittagong,Girls' smile is the most precious thing in the world for boys
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,tomake ducokh vore dekha ekhono baki,তোঁয়ারে দুইচোক বরি দেহা আইযো বাকি,toyare duichok bori deha aijo baki,Chittagong,You are yet to be seen with eyes full of eyes
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,tomake kache ese joriye dhora baki,তোঁয়ারে হাঁচে আই বেরাই দরা আইযো বাকি,toyare hace ai berai dora aijo baki,Chittagong,You have to come and hug
আমার অনেক ঠাণ্ডা লাগছে,amar onek thanda lagche,আঁর বউত টান্ডা লাগের,ar bout tanda lager,Chittagong,I feel very cold
আমার মন খারাপ,amar mon kharap,আঁর মন হারাফ,ar mon haraf,Chittagong,I'm upset
আপনার কি মন খারাপ ?,apnar ki mon kharap ?,অনর কি মন হারাফ নে,onor ki mon haraf ne,Chittagong,Are you upset?
তোমার  কি মন খারাপ ?,tomar ki mon kharap ?,তোঁয়ার কি মন হারাফ নে,toyar ki mon haraf ne,Chittagong,Are you upset?
আব্বু আমার জন্য লাল জামা কিনে এনেছে,abbu amar jonno lal jama kine eneche,আব্বু আঁর লাই লাল হঅর কিনি আইন্নে,abbu ar lai lal hor kini ainne,Chittagong,Dad bought a red dress for me
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,amar bondhu amake lal shari kine diyeche,আঁর বন্দু আঁরে এক্কান লাল শারি কিনি দিয়্যে,ar bondu are ekkan lal shari kini diyie,Chittagong,My friend bought me a red saree
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,amar bondhu amake ekti lal golap kine diyeche,আঁর বন্দু আঁরে ওজ্ঞা লাল গোলাপ কিনি দিয়্যে,ar bondu are ogga lal golap kini diyie,Chittagong,My friend bought me a red rose
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,amar ammu amake niye park e ghurte jabe,আঁর আম্মু আঁরে লই ফার্ক অত বেরাইতো যাইবো,ar ammu are loi farko oto beraito jaibo,Chittagong,My mom will take me for a walk in the park
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর","je valobasha joto gopon, sei valobasha toto govir",বালবাসা যিয়ান যত গোফন অই বালাবাসা ইয়ান তত গবীর,balobasa jiyan joto gofon oi balabasa iyan toto gobir,Chittagong,"The more secret the love, the deeper the love"
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,valobasha paoyar chaite valobasha deoyatei beshi anondo,বালবাসা ফাইবারতুন বরা বালবাসা দিয়ায় বেশি আনন্দ,balobasa faibartun bora balobasa diyay beshi anondo,Chittagong,There is more joy in giving love than receiving love
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","tumi jodi kauke valobasho,tobe take chere dao",তুঁই যদি হনিকারে বালবাসো তইলে ইতারে চারি দ,tui jodi honikare balobaso toile itare cari do,Chittagong,"If you love someone, let them go"
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল","jodi se tomar kache fire ase,tobe se tomari chilo",যদি ইতে তোঁয়ার হাচে ফিরি আয়্যিয়ে তইলে ইতে তোঁয়ারই আচিল,jodi ite toyar hace firi ayiye toile ite toyari acilo,Chittagong,"If she came back to you, she was yours"
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না","ar jodi fire na ase,tobe se kokhonoi tomar chilo na",আর যদি ফিরি ন আইয়্যে তইলে ইতে হন অত্তে তোঁয়ার ন আচিল,ar jodi firi no aiyye toile ite hon otte toyar no acilo,Chittagong,"And if she doesn't come back, she was never yours"
