bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,meyera sottikar valobashte baste je kokhon ovinoy shuru kore tara ta nijeo janena,ফুড়িন্তে হাছা হাছির ভালা পাইতে পাইতে কুন সময় যে অভিনয় শুরু লাগায় ইতা তারা নিজেও জানইন না,furinte hacha hachir vala paite paite kun somoy je ovinoy shuru lagay ita tara nijeo janin na,Sylhet,Girls don't even know when they start acting out of real love
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,ei prithibite priyo manushguloke chara beche thakata koshtokor kintu osomvob kichu noy,অউ দুনিয়াত ভালা লাগার মানুষরারে ছাড়া বাছিয়া থাকা কষ্টর কিন্তুক অসম্ভব কিচ্ছু নায়,ou duniyat vala lagar manushrare chara bachiya thaka koshtor kintuk osomvob kicchu nay,Sylhet,Living without loved ones in this world is difficult but not impossible
কারো জন্য কারো জীবন থেমে থাকে না,karo jonno karo jibon theme thake na,খেউরু লাগি খেউরুর জীবন থামিয়া থাকে না,kheuru lagi kheurur jibon thamiya thake na,Sylhet,Life doesn't stop for anyone
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,kauke procondovabe valobashar moddhe ek dhoroner durbolta ache,খেউররে খুব বেশি ভালাপাওয়ার মাঝে এখ ধরনর দুর্বলতা আছে,kheurre khub beshi valapaoyar majhe ekh dhoronor durbolta ache,Sylhet,There is a weakness in loving someone so much
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","chele ebong meye bondhu hote pare, kintu tara oboshoi eke oporer preme porbe","ফুয়া আর ফুড়ি বন্দু অইতে পারইন, কিন্তু তারা ঠিকউ এখজন আরোখ জনর পেরেমো ফরবা","fuya ar furi bondu oite parin, kintu tara thiku ekhjon arokh jonor peremo forba",Sylhet,"Boy and girl may be friends, but they will definitely fall in love with each other"
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,cheleder jonno prithibite sob chaite mulloban holo meyeder hashi,ফুয়াইন্তর লাগি দুনিয়াত সব চাইতে দামী অইলো ফুড়িন্তর হাসি,fuyaintor lagi duniyat sob caite dami oilo furintor hasi,Sylhet,Girls' smile is the most precious thing in the world for boys
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,tomake ducokh vore dekha ekhono baki,তুমারে  দুই চউক ভরিয়া দেখা এখনো বাকি,tumare  dui chouk voriya dekha ekhno baki,Sylhet,You are yet to be seen with eyes full of eyes
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,tomake kache ese joriye dhora baki,তুমারে কান্দাত আইয়া জড়াইয়া ধরা বাকি,tumare kandat aiya joraiya dhora baki,Sylhet,You have to come and hug
আমার অনেক ঠাণ্ডা লাগছে,amar onek thanda lagche,মোর যে ঠান্ডা লাগের,mor je thanda lager,Sylhet,I feel very cold
আমার মন খারাপ,amar mon kharap,মোর মন খারাফ,mor mon kharaf,Sylhet,I'm upset
আপনার কি মন খারাপ ?,apnar ki mon kharap ?,আফনার কিতা মন খারাফ নি?,afnar kita mon kharaf ni?,Sylhet,Are you upset?
তোমার  কি মন খারাপ ?,tomar ki mon kharap ?,তুমার  কিতা মন খারাফ নি?,tumar  kita mon kharaf ni?,Sylhet,Are you upset?
আব্বু আমার জন্য লাল জামা কিনে এনেছে,abbu amar jonno lal jama kine eneche,আব্বায় মোর লাগি লাল জামা কিনিয়া আনছইন,abbay mor lagi lal jama kiniya anchoin,Sylhet,Dad bought a red dress for me
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,amar bondhu amake lal shari kine diyeche,মোর বন্দু মোর লাগি লাল শাড়ি কিনিয়া দিছে,mor bondu mor lagi lal shari kiniya diche,Sylhet,My friend bought me a red saree
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,amar bondhu amake ekti lal golap kine diyeche,মোর বন্দু মোর লাগি এখটা লাল গোলাপ কিনিয়া দিছে,mor bondu mor lagi ekhta lal golap kiniya diche,Sylhet,My friend bought me a red rose
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,amar ammu amake niye park e ghurte jabe,মোর আম্মায় মোরে লইয়া পার্কো গুরাত যাইবা,mor ammay more liya parko gurat jaiba,Sylhet,My mom will take me for a walk in the park
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর","je valobasha joto gopon, sei valobasha toto govir",যে পিরিত যত গুফন হউ পিরিত তত গভীর,je pirit jot gufon hou pirit toto govir,Sylhet,"The more secret the love, the deeper the love"
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,valobasha paoyar chaite valobasha deoyatei beshi anondo,ভালোবাসা ফাওয়ার চাইতে ভালোবাসা দেওয়াত অউ বেশি আনন্দ,valobasa faoyar chaite valobasha deoyat ou beshi anondo,Sylhet,There is more joy in giving love than receiving love
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","tumi jodi kauke valobasho,tobe take chere dao","তুমি যদি খেউরে ভালোবাসো,তাইলে তারে ছাড়ি দেও","tumi jodi kheure valobaso,taile tare chari deo",Sylhet,"If you love someone, let them go"
"যদি সে তোমার কাছে ফিরে আসে,তবে সে তোমারই ছিল","jodi se tomar kache fire ase,tobe se tomari chilo","যদি হে তুমার কাছে ফিরিয়া  আয়, তে হে তুমার অউ আছিল","jodi he tumar kache firiya  ay, te he tumar ou achilo",Sylhet,"If she came back to you, she was yours"
"আর যদি ফিরে না আসে,তবে সে কখনই তোমার ছিল না","ar jodi fire na ase,tobe se kokhonoi tomar chilo na","আর যদি ফিরিয়া না  আয় , তে হে  কুনোদিন অউ তুমার  আছিল না","ar jodi firiya na  ay , te he  kunodin ou tumar achilo na",Sylhet,"And if she doesn't come back, she was never yours"
"যখন কোন পুরুষ কোন নারীকে ভালবাসে,তখন সে তার জন্য সব কিছু করতে পারে","jokhon kono purush kono narike valobashe,tokhon se tar jonno sob kichu korte pare",যেসময় কুনো বেটা কুনো বেটিরে ভালাপায় হেসময় তাইর লাগি হখলতা খরতো পারে,jesomoy kuno beta kuno betire valapay hesomoy tair lagi hokholta khorto pare,Sylhet,"When a man loves a woman, he will do anything for her"
