bangla_speech ,banglish_speech ,barishal_bangla_speech ,barishal_banglish_speech ,region_name ,english_speech
ছেলেরা ভালোবাসার অভিনয় করতে করতে যে কখন সত্যি সত্যি ভালোবেসে ফেলে তারা তা নিজেও জানেনা,chelera valobasar ovinoy korte korte je kokhon sotti sotti valobeshe fele tara ta nijeo janena,পোলারা ভালোবাসার নাটক করতে করতে যে কহন আসলেই ভালোবাইসা হালায় হ্যারা হেইয়া নিজেও জানেনা,polara valobashar natok korte korte je kohon asholei valobaisha halay hera heida nijeo janena,Barishal ,Boys don't even know when they are really in love while pretending to be in love
মেয়েরা সত্যিকার ভালোবাসতে বাসতে যে কখন অভিনয় শুরু করে তারা তা নিজেও জানেনা,meyera sottikar valobashte baste je kokhon ovinoy shuru kore tara ta nijeo janena,মাইয়ারা ভালোবাসতে বাসতে যে কহন আসলেই অভিনয় শুরু করে হ্যারা হেইয়া নিজেও জানেনা,maiyara valobashte baste je kohon ashlei ovinoy shuru kore hera heida nijeo janena,Barishal ,Girls don't even know when they start acting out of real love
এই পৃথিবীতে প্রিয় মানুষগুলোকে ছাড়া বেঁচে থাকাটা কষ্টকর কিন্তু অসম্ভব কিছু নয়,ei prithibite priyo manushguloke chara beche thakata koshtokor kintu osomvob kichu noy,এই পিরথিবিতে পছন্দের মানুগুলা থুইয়া বাইচ্চা থাহাডা তয় অসম্ভব কিছুই না,ei pirthibite pochonder manugula thuiya baiccha thahada toy oshomvob kichui na,Barishal ,Living without loved ones in this world is difficult but not impossible
কারো জন্য কারো জীবন থেমে থাকে না,karo jonno karo jibon theme thake na,কারও লইজ্ঞা কারো জীবন থাইম্মা থাহে না,karo loigga karo jibon thaimma thahe na,Barishal ,Life doesn't stop for anyone
কাউকে প্রচন্ডভাবে ভালবাসার মধ্যে এক ধরনের দুর্বলতা আছে,kauke procondovabe valobashar moddhe ek dhoroner durbolta ache,কাউরে বেমালা ভালোবাসার মধ্যে এক রহমের দুর্বলতা আছে,kaure bemala valobashar moddhe ek rohomer durbolta ache,Barishal ,There is a weakness in loving someone so much
"ছেলে এবং মেয়ে বন্ধু হতে পারে, কিন্তু তারা অবশ্যই একে অপরের প্রেমে পড়বে","chele ebong meye bondhu hote pare, kintu tara oboshoi eke oporer preme porbe","পোলা আর মাইয়া দোস্তো হইতে পারে, তয় হ্যারা ঠিকই একজন আর একজনের পেরেমে পড়বে","pola ar maiya dosto hoite pare, toy hera thiki ekjon ar ekjoner pereme porbe",Barishal ,"Boy and girl may be friends, but they will definitely fall in love with each other"
ছেলেদের জন্য পৃথিবীতে সব চাইতে মূল্যবান হল মেয়েদের হাসি,cheleder jonno prithibite sob chaite mulloban holo meyeder hashi,পোলাগো লইজ্ঞা পিরথিবিতে সব চাইতে দামী হইলো মাইয়াগো হাসি,polago loigga pirthibite sob coaite dami hoilo maiyago hashi,Barishal ,Girls' smile is the most precious thing in the world for boys
তোমাকে দুচোখ ভরে দেখা এখনও বাকি,tomake ducokh vore dekha ekhono baki,তোমারে দুই চোখ ভইরা দ্যাহা এহনও বাকি,tomare dui chokh voira deha ehono baki,Barishal ,You are yet to be seen with eyes full of eyes
তোমাকে  কাছে এসে জড়িয়ে ধরা বাকি,tomake kache ese joriye dhora baki,তোমার কাছে যাইয়া জাবরাইয়া ধরা বাকি,tomar kache jaiya jabraiya dhora baki,Barishal ,You have to come and hug
আমার অনেক ঠাণ্ডা লাগছে,amar onek thanda lagche,মোর অনেক শিত লাগতেয়াছে,mor onek shit lagteyache,Barishal ,I feel very cold
আমার মন খারাপ,amar mon kharap,মোর মন খারাপ,mor mon kharap,Barishal ,I'm upset
আপনার কি মন খারাপ ?,apnar ki mon kharap ?,আমনের কি মন খারাপ?,amner ki mon kharap?,Barishal ,Are you upset?
তোমার  কি মন খারাপ ?,tomar ki mon kharap ?,তোমার কি মন খারাপ?,tomar ki mon kharap?,Barishal ,Are you upset?
আব্বু আমার জন্য লাল জামা কিনে এনেছে,abbu amar jonno lal jama kine eneche,আব্বা মোর লইজ্ঞা লাল জামা কিন্যা আনছে,abba mor loigga lal jama kinna anche,Barishal ,Dad bought a red dress for me
আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,amar bondhu amake lal shari kine diyeche,মোর দোস্তো মোরে লাল শাড়ি কিন্যা দেছে,mor dosto more lal shari kinna deche,Barishal ,My friend bought me a red saree
আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,amar bondhu amake ekti lal golap kine diyeche,মোর দোস্তো মোরে একডা লাল গোলাপ কিনে দেছে,mor dosto more ekda lal golap kine deche,Barishal ,My friend bought me a red rose
আমার আম্মু আমাকে নিয়ে পার্কে ঘুরতে যাবে,amar ammu amake niye park e ghurte jabe,মোর মা মোরে লইয়া পার্কে ঘোরতে যাইবে,mor ma more loigga park e ghorte jaibe,Barishal ,My mom will take me for a walk in the park
"যে ভালবাসা যত গোপন, সেই ভালবাসা তত গভীর","je valobasha joto gopon, sei valobasha toto govir","যেই ভালোবাসা যতো গোপন, হেই ভালোবাসা হ্যাতো গভীর","jei valobasha joto gopon, hei valobasha heto govir",Barishal ,"The more secret the love, the deeper the love"
ভালোবাসা পাওয়ার চাইতে ভালোবাসা দেওয়াতেই বেশি আনন্দ,valobasha paoyar chaite valobasha deoyatei beshi anondo,ভালোবাসা পাওয়ার চাইয়া ভালোবাসা দেওয়াতেই বেমালা সুখ,valobasha paowar chaia valobasha deowatei bemala shukh,Barishal ,There is more joy in giving love than receiving love
"তুমি যদি কাউকে ভালোবাসো,তবে তাকে ছেড়ে দাও","tumi jodi kauke valobasho,tobe take chere dao","তুমি যদি কাউরে ভালোবাসো,হ্যালে হ্যারে ছাইড়া দেও","tumi jodi kaure valobasho,hele here chaira deo",Barishal ,"If you love someone, let them go"
